model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation;extra
ITS-NegBin;Световые приборы;JUN;time_after;-0.02486;0.9754;0.00957;"[0.957; 0.994]";0.9573;0.9939;0.00937;122;изменение тренда: IRR=0.975, p=0.0094;
ITS-Poisson;Все нарушения;JUN;post;-0.08479;0.9187;0.03513;"[0.858; 0.984]";0.8576;0.9842;0.01581;122;скачок уровня: IRR=0.919, p=0.0158;
ITS-Poisson;Все нарушения;JUN;time_after;-0.00996;0.9901;0.00167;"[0.987; 0.993]";0.9869;0.9933;0.0;122;изменение тренда: IRR=0.990, p=0.0000;
ITS-NegBin;Все нарушения;JUN;post;-0.08132;0.9219;0.0379;"[0.856; 0.993]";0.8559;0.993;0.03193;122;скачок уровня: IRR=0.922, p=0.0319;
ITS-NegBin;Все нарушения;JUN;time_after;-0.01004;0.99;0.00174;"[0.987; 0.993]";0.9866;0.9934;0.0;122;изменение тренда: IRR=0.990, p=0.0000;
Panel FE (усл. Пуассон);Composite (манёвренные);MAY;post;0.36057;1.4342;0.04146;"[1.322; 1.556]";1.3222;1.5555;0.0;12088;внутриклиентский эффект, IRR=1.434, клиентов=3022;
Panel FE (усл. Пуассон);Composite (манёвренные);JUN;post;-0.07057;0.9319;0.03793;"[0.865; 1.004]";0.8651;1.0038;0.06283;12088;внутриклиентский эффект, IRR=0.932, клиентов=3022;
Panel FE (усл. Пуассон);Нарушение разметки;MAY;post;0.5821;1.7898;0.05964;"[1.592; 2.012]";1.5923;2.0117;0.0;6580;внутриклиентский эффект, IRR=1.790, клиентов=1645;
Panel FE (усл. Пуассон);Нарушение разметки;JUN;post;-0.04582;0.9552;0.05214;"[0.862; 1.058]";0.8624;1.058;0.37951;6580;внутриклиентский эффект, IRR=0.955, клиентов=1645;
Panel FE (усл. Пуассон);Остановка/стоянка в неположенном месте;MAY;post;-0.32617;0.7217;0.09096;"[0.604; 0.863]";0.6038;0.8625;0.00034;2096;внутриклиентский эффект, IRR=0.722, клиентов=524;
Panel FE (усл. Пуассон);Остановка/стоянка в неположенном месте;JUN;post;-0.09212;0.912;0.09793;"[0.753; 1.105]";0.7527;1.105;0.34688;2096;внутриклиентский эффект, IRR=0.912, клиентов=524;
Panel FE (усл. Пуассон);Пересечение стоп-линии;MAY;post;0.53382;1.7054;0.12566;"[1.333; 2.182]";1.3331;2.1817;2e-05;1864;внутриклиентский эффект, IRR=1.705, клиентов=466;
Panel FE (усл. Пуассон);Пересечение стоп-линии;JUN;post;0.04512;1.0462;0.10524;"[0.851; 1.286]";0.8512;1.2858;0.6681;1864;внутриклиентский эффект, IRR=1.046, клиентов=466;
Panel FE (усл. Пуассон);Движение по обочине;MAY;post;0.31626;1.372;0.16137;"[1.000; 1.882]";1.0;1.8824;0.05001;980;внутриклиентский эффект, IRR=1.372, клиентов=245;
Panel FE (усл. Пуассон);Движение по обочине;JUN;post;-0.56977;0.5657;0.17146;"[0.404; 0.792]";0.4042;0.7916;0.00089;980;внутриклиентский эффект, IRR=0.566, клиентов=245;
Panel FE (усл. Пуассон);Движение по выделенной полосе;MAY;post;0.3285;1.3889;0.09836;"[1.145; 1.684]";1.1454;1.6842;0.00084;2628;внутриклиентский эффект, IRR=1.389, клиентов=657;
Panel FE (усл. Пуассон);Движение по выделенной полосе;JUN;post;-0.01661;0.9835;0.09068;"[0.823; 1.175]";0.8234;1.1748;0.85465;2628;внутриклиентский эффект, IRR=0.984, клиентов=657;
Panel FE (усл. Пуассон);Использование телефона за рулём;MAY;post;0.51457;1.6729;0.09172;"[1.398; 2.002]";1.3977;2.0024;0.0;3028;внутриклиентский эффект, IRR=1.673, клиентов=757;
Panel FE (усл. Пуассон);Использование телефона за рулём;JUN;post;0.09337;1.0979;0.08081;"[0.937; 1.286]";0.9371;1.2863;0.24789;3028;внутриклиентский эффект, IRR=1.098, клиентов=757;
Panel FE (усл. Пуассон);Превышение 20-40 км/ч;MAY;post;0.26308;1.3009;0.01668;"[1.259; 1.344]";1.2591;1.3442;0.0;46660;внутриклиентский эффект, IRR=1.301, клиентов=11665;
Panel FE (усл. Пуассон);Превышение 20-40 км/ч;JUN;post;0.05561;1.0572;0.01488;"[1.027; 1.088]";1.0268;1.0885;0.00019;46660;внутриклиентский эффект, IRR=1.057, клиентов=11665;
Panel FE (усл. Пуассон);Ремень безопасности;MAY;post;1.00953;2.7443;0.07696;"[2.360; 3.191]";2.36;3.1911;0.0;5916;внутриклиентский эффект, IRR=2.744, клиентов=1479;
Panel FE (усл. Пуассон);Ремень безопасности;JUN;post;-0.02755;0.9728;0.06518;"[0.856; 1.105]";0.8562;1.1054;0.67257;5916;внутриклиентский эффект, IRR=0.973, клиентов=1479;
Panel FE (усл. Пуассон);Платная дорога;MAY;post;-0.13242;0.876;0.1407;"[0.665; 1.154]";0.6649;1.1541;0.3466;948;внутриклиентский эффект, IRR=0.876, клиентов=237;
Panel FE (усл. Пуассон);Платная дорога;JUN;post;0.74894;2.1148;0.17237;"[1.508; 2.965]";1.5085;2.9648;1e-05;948;внутриклиентский эффект, IRR=2.115, клиентов=237;
Panel FE (усл. Пуассон);Световые приборы;MAY;post;1.1987;3.3158;0.3028;"[1.832; 6.002]";1.8316;6.0025;8e-05;572;внутриклиентский эффект, IRR=3.316, клиентов=143;
Panel FE (усл. Пуассон);Световые приборы;JUN;post;0.41985;1.5217;0.16379;"[1.104; 2.098]";1.1039;2.0978;0.01037;572;внутриклиентский эффект, IRR=1.522, клиентов=143;
Panel FE (усл. Пуассон);Все нарушения;MAY;post;0.30476;1.3563;0.01525;"[1.316; 1.397]";1.3164;1.3975;0.0;52056;внутриклиентский эффект, IRR=1.356, клиентов=13014;
Panel FE (усл. Пуассон);Все нарушения;JUN;post;0.04748;1.0486;0.0135;"[1.021; 1.077]";1.0212;1.0767;0.00044;52056;внутриклиентский эффект, IRR=1.049, клиентов=13014;
ITS-Poisson + offset(прочие);Composite (манёвренные);MAY;post;0.52065;1.6831;0.19466;"[1.149; 2.465]";1.1493;2.465;0.00748;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.683;
ITS-Poisson + offset(прочие);Нарушение разметки;MAY;post;1.09002;2.9743;0.37575;"[1.424; 6.212]";1.4241;6.212;0.00372;122;изменение ДОЛИ относительно прочих нарушений, IRR=2.974;
ITS-Poisson + offset(прочие);Остановка/стоянка в неположенном месте;MAY;post;-0.396;0.673;0.30059;"[0.373; 1.213]";0.3734;1.2131;0.1877;122;изменение ДОЛИ относительно прочих нарушений, IRR=0.673;
ITS-Poisson + offset(прочие);Пересечение стоп-линии;MAY;post;0.4405;1.5535;0.15231;"[1.153; 2.094]";1.1525;2.0939;0.00383;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.553;
ITS-Poisson + offset(прочие);Движение по обочине;MAY;post;0.18911;1.2082;0.5322;"[0.426; 3.429]";0.4257;3.4289;0.72233;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.208;
ITS-Poisson + offset(прочие);Движение по выделенной полосе;MAY;post;0.47069;1.6011;0.18716;"[1.109; 2.311]";1.1094;2.3106;0.01191;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.601;
ITS-Poisson + offset(прочие);Использование телефона за рулём;MAY;post;0.27888;1.3216;0.14796;"[0.989; 1.766]";0.9889;1.7663;0.05945;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.322;
ITS-Poisson + offset(прочие);Composite (манёвренные);JUN;post;0.02422;1.0245;0.08191;"[0.873; 1.203]";0.8726;1.2029;0.76748;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.025;
ITS-Poisson + offset(прочие);Нарушение разметки;JUN;post;0.1983;1.2193;0.14686;"[0.914; 1.626]";0.9143;1.626;0.17695;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.219;
ITS-Poisson + offset(прочие);Остановка/стоянка в неположенном месте;JUN;post;0.16573;1.1802;0.14051;"[0.896; 1.554]";0.8961;1.5545;0.23822;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.180;
ITS-Poisson + offset(прочие);Пересечение стоп-линии;JUN;post;-0.32242;0.7244;0.12403;"[0.568; 0.924]";0.5681;0.9237;0.00933;122;изменение ДОЛИ относительно прочих нарушений, IRR=0.724;
ITS-Poisson + offset(прочие);Движение по обочине;JUN;post;-1.14328;0.3188;0.35616;"[0.159; 0.641]";0.1586;0.6407;0.00133;122;изменение ДОЛИ относительно прочих нарушений, IRR=0.319;
ITS-Poisson + offset(прочие);Движение по выделенной полосе;JUN;post;-0.16098;0.8513;0.17614;"[0.603; 1.202]";0.6028;1.2023;0.36074;122;изменение ДОЛИ относительно прочих нарушений, IRR=0.851;
ITS-Poisson + offset(прочие);Использование телефона за рулём;JUN;post;0.02186;1.0221;0.09306;"[0.852; 1.227]";0.8517;1.2266;0.81432;122;изменение ДОЛИ относительно прочих нарушений, IRR=1.022;
DiD (FE клиента, усл. Пуассон);Composite (манёвренные);MAY;treated×post;0.00578;1.0058;0.13255;"[0.776; 1.304]";0.7757;1.3042;0.96521;5944;доп. эффект для связанных лимитом, IRR=1.006;
DiD (FE клиента, усл. Пуассон);Нарушение разметки;MAY;treated×post;0.05344;1.0549;0.19328;"[0.722; 1.541]";0.7222;1.5408;0.78215;3304;доп. эффект для связанных лимитом, IRR=1.055;
DiD (FE клиента, усл. Пуассон);Остановка/стоянка в неположенном месте;MAY;treated×post;-0.00118;0.9988;0.29367;"[0.562; 1.776]";0.5617;1.7761;0.99679;1016;доп. эффект для связанных лимитом, IRR=0.999;
DiD (FE клиента, усл. Пуассон);Пересечение стоп-линии;MAY;treated×post;0.1694;1.1846;0.36241;"[0.582; 2.410]";0.5822;2.4102;0.64019;924;доп. эффект для связанных лимитом, IRR=1.185;
DiD (FE клиента, усл. Пуассон);Движение по обочине;MAY;treated×post;0.09793;1.1029;0.71863;"[0.270; 4.511]";0.2697;4.5106;0.89161;504;доп. эффект для связанных лимитом, IRR=1.103;
DiD (FE клиента, усл. Пуассон);Движение по выделенной полосе;MAY;treated×post;-0.32507;0.7225;0.29966;"[0.402; 1.300]";0.4016;1.2999;0.27802;1216;доп. эффект для связанных лимитом, IRR=0.722;
DiD (FE клиента, усл. Пуассон);Использование телефона за рулём;MAY;treated×post;-0.13513;0.8736;0.30324;"[0.482; 1.583]";0.4822;1.5828;0.65586;1416;доп. эффект для связанных лимитом, IRR=0.874;
