cut;b;lo;hi;p;b_rel;p_rel
2026-05-10;0.7644307394576481;0.3334705300019502;1.1953909489133459;0.0005077797260255396;0.5369538703251209;0.004032626422686715
2026-05-11;0.7689604240456257;0.34928237297048054;1.1886384751207708;0.0003291149334354816;0.5429856750550904;0.0028237115826439552
2026-05-12;0.7655028442056171;0.36236369093999377;1.1686419974712403;0.00019784212764941946;0.5704453652616186;0.00040418865745806985
2026-05-13;0.8318267537877455;0.4903505617033438;1.1733029458721473;1.8014810152058467e-06;0.6131752783854577;2.7507907820911434e-05
2026-05-14;0.8518426489319623;0.5461176355796156;1.157567662284309;4.730476156360255e-08;0.6018929107560944;1.1204347097122076e-05
2026-05-15;0.804015061572244;0.5081267494122206;1.0999033737322674;1.0045820159796613e-07;0.5532788128125309;3.245731711861982e-05
2026-05-16;0.7193919757556325;0.39414395096336;1.044640000547905;1.4564183415277473e-05;0.4748307132387007;0.0011792869101095846
2026-05-17;0.6777767389840401;0.3331024898246085;1.0224509881434718;0.00011611014597351714;0.4481301203012773;0.003027990254907576
2026-05-18;0.6518078191865869;0.29829104035764437;1.0053245980155294;0.0003017273920642051;0.4405044180577858;0.0031044836925454974
2026-05-19;0.5666368108062113;0.16810697107954498;0.9651666505328776;0.005323742445075091;0.3708655047391242;0.025615261374586404
2026-05-20;0.4828209765745498;0.037518728548527724;0.928123224600572;0.03357502741201978;0.31294249793927975;0.0786365303669057
2026-05-21;0.40654319804464845;-0.07174433714031009;0.884830733229607;0.09571439949416069;0.25762862940190023;0.1648684666435678
2026-05-22;0.3946151677816977;-0.05902954355596657;0.848259879119362;0.0882020320971859;0.24179264606021839;0.179171406942908
2026-05-23;0.3447970573162923;-0.10584495986574993;0.7954390744983345;0.13370685353736578;0.20810762219103457;0.23646578863874912
2026-05-24;0.3250116342325477;-0.11483212409879923;0.7648553925638946;0.1475350185132902;0.20315739688820367;0.23126153799028015
2026-05-25;0.3073377785731579;-0.12472659802855324;0.7394021551748691;0.16325869076322574;0.19385918432067462;0.24615421666926773
2026-05-26;0.29013086508623964;-0.12019000890318166;0.7004517390756609;0.16578280247410027;0.18731924147493098;0.23994032344086513
2026-05-27;0.28994122249849535;-0.09172435704746479;0.6716068020444554;0.13649789200467208;0.1964736872651478;0.18896536053291857
2026-05-28;0.2731730117888688;-0.0824411297723977;0.6287871533501354;0.1321652285005955;0.19330444350605944;0.16329326355420515
2026-05-29;0.2599860790495547;-0.08057813574902684;0.6005502938481362;0.1345858357264448;0.17823575714379533;0.18021141065954716
2026-05-30;0.25749848727773794;-0.06363596242194208;0.5786329369774179;0.11604180445671727;0.1549873870744785;0.22823273927390986
2026-05-31;0.24264051016699847;-0.07059011007796898;0.5558711304119659;0.12894092014123584;0.14550511646128703;0.2519042991982974
2026-06-01;0.22625105803197507;-0.08455193232139938;0.5370540483853495;0.15363906599813548;0.14151473289353295;0.2624574617898009
2026-06-02;0.19003989716540048;-0.1143634658958197;0.49444326022662066;0.22109045932514526;0.1333935596182007;0.27804583317616216
2026-06-03;0.16848581078641925;-0.12612493972333108;0.4630965612961696;0.2623260975639575;0.13235073444989526;0.2614539705932809
2026-06-04;0.13643080396023677;-0.15443565901799988;0.4272972669384734;0.357919196979408;0.114460023674375;0.3202667926055932
2026-06-05;0.1518216776337624;-0.11364404455433888;0.4172873998218637;0.26231445882665005;0.13176584393662505;0.21571888506298786
2026-06-06;0.18215895599358092;-0.05437564277610571;0.41869355476326753;0.13118986601086302;0.15506133636042993;0.11589964106814302
2026-06-07;0.1791883436933058;-0.05010528232096198;0.40848196970757356;0.12559636755822026;0.15713984377185813;0.10494380926731947
2026-06-08;0.17149358868081285;-0.0565444734830636;0.39953165084468933;0.14048238202341956;0.14839154486092923;0.12690924171832899
2026-06-09;0.1825123479799394;-0.038390249005436666;0.4034149449653155;0.10536654500685215;0.16268863867154465;0.08222242283044683
2026-06-10;0.14701181406437408;-0.05930807380386352;0.35333170193261165;0.16253855675586049;0.12583713665857557;0.18374941356499075
2026-06-11;0.13991565117971017;-0.0568138486316474;0.33664515099106773;0.16332719298362297;0.13821636344055757;0.10934287211222007
2026-06-12;0.05596469849458817;-0.14372369583288036;0.25565309282205667;0.5827928043476346;0.07994098394421359;0.41302263831728836
2026-06-13;0.08337020026199543;-0.09791024430533535;0.2646506448293262;0.36737744121273286;0.17266393019056556;0.03508268437704677
2026-06-14;0.08999476244455606;-0.0976486844158346;0.27763820930494676;0.34720418165437317;0.17306660380409244;0.04417944731973723
2026-06-15;0.017827008527417084;-0.16468710891542118;0.20034112597025536;0.84817902093462;0.10123168077165633;0.18500694907485515
2026-06-16;-0.0055848750062955105;-0.18225221958775936;0.17108246957516834;0.9505944772486297;0.07022196306152297;0.35890249027437104
2026-06-17;-0.04866735892608625;-0.22708129462964477;0.12974657677747226;0.5928957290992998;0.04280355038475961;0.5903946657815542
2026-06-18;-0.04998114748775956;-0.21881471976577943;0.11885242479026031;0.5617565483399269;0.04054003630011038;0.5901255457011633
2026-06-19;-0.06273260434522418;-0.23055269976893633;0.10508749107848797;0.4637627966777992;0.025693582953725022;0.735031285254591
2026-06-20;-0.102793222730613;-0.26998328308490604;0.06439683762368006;0.22817861066633205;-0.016954837226360906;0.8394119337336233
2026-06-21;-0.09824841520100377;-0.2661857088999201;0.06968887849791253;0.25152237363895524;-0.009321758774884992;0.9075838268503492
2026-06-22;-0.10807283776736555;-0.28170263415607105;0.06555695862133996;0.2224770788561916;-0.018246402625943108;0.8199154769516193
2026-06-23;-0.12701182505232844;-0.3002984792034896;0.046274829098832765;0.150832389521718;-0.03644065716741668;0.6549049313302898
2026-06-24;-0.13459690639438351;-0.31420731901091326;0.0450135062221462;0.14188981979533077;-0.020267820127387853;0.8067672327241169
2026-06-25;-0.16020175936221678;-0.33942633081211415;0.019022812087680613;0.07977956539679049;-0.045996648769967584;0.5778898693809608
2026-06-26;-0.14285367570288482;-0.34458462494198727;0.05887727353621766;0.16515116386970252;-0.002171167756746262;0.9814618362316696
2026-06-27;-0.16847878010634518;-0.3718520552655996;0.034894495052909286;0.10443856789361201;-0.047317875172568705;0.5864401234272124
2026-06-28;-0.19726694242321657;-0.40064770768020097;0.006113822833767851;0.05729146917673248;-0.07909790506726203;0.3608935695312686
2026-06-29;-0.22065762903966188;-0.4257970018948101;-0.015518256184513635;0.035007739430319054;-0.09073704299137843;0.3032273336971899
2026-06-30;-0.24248391132959937;-0.448172345210266;-0.036795477448932745;0.02085367693659614;-0.10114692716105109;0.2710774114914646
2026-07-01;-0.28615693992907354;-0.4752837539267336;-0.09703012593141347;0.0030212883232819867;-0.15668047882603117;0.061662982581583675
2026-07-02;-0.3090977725142946;-0.494911758178336;-0.12328378685025318;0.001112473473056798;-0.16320782111866464;0.05878076951258693
2026-07-03;-0.31964516165596113;-0.5081645107628446;-0.13112581254907765;0.0008896229384881621;-0.17694774282599401;0.05001733809517384
2026-07-04;-0.3207779900023927;-0.5218955649919732;-0.11966041501281227;0.0017710773428735757;-0.19197179668730047;0.0400546762798993
2026-07-05;-0.3799388516433844;-0.5531472405920703;-0.20673046269469847;1.713146616858573e-05;-0.2693653717729219;0.00024349384106912614
2026-07-06;-0.37585986022258194;-0.5568244905904913;-0.1948952298546725;4.6835837726865106e-05;-0.25463611659934243;0.0014563220418772687
2026-07-07;-0.3886047625110921;-0.5675431138380186;-0.2096664111841656;2.075781598524487e-05;-0.2834015468560984;0.00018739272309470104
2026-07-08;-0.3818012133621247;-0.565645819354822;-0.1979566073694273;4.692230010902614e-05;-0.2996502422259729;0.00010749074492933832
2026-07-09;-0.3407541488783493;-0.5515559615869969;-0.12995233616970173;0.0015334634783277967;-0.2543981265259665;0.006649661831274173
2026-07-10;-0.37288541067526776;-0.5690076192746192;-0.1767632020759164;0.00019413353979968827;-0.28833917303425266;0.0010785066465901396
2026-07-11;-0.37583188225873504;-0.5690549377403242;-0.18260882677714588;0.00013766164657171085;-0.3281462662981182;2.5980259969414236e-05
2026-07-12;-0.35770146135830544;-0.5684823918750156;-0.14692053084159526;0.0008804572740904445;-0.32176455981872615;0.00010874562465884767
2026-07-13;-0.34679995238006883;-0.5608898419375111;-0.13271006282262654;0.001498545740598265;-0.33670174187307866;2.339972070707076e-05
2026-07-14;-0.3125500169752816;-0.5427623156086703;-0.08233771834189291;0.0077905834729185;-0.2782173365479803;0.0035493737348964846
2026-07-15;-0.28860295817666326;-0.5313763379344972;-0.045829578418829314;0.01980618961066629;-0.24712206679884638;0.0284642653213519
