model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
ITS-Poisson + offset;Пересечение стоп-линии;JUN;post;-0.32163;0.725;0.12437;"[0.568; 0.925]";0.5681;0.9251;0.00971;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Движение по обочине;JUN;post;-1.14268;0.319;0.35695;"[0.158; 0.642]";0.1585;0.6421;0.00137;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Движение по выделенной полосе;JUN;post;-0.1596;0.8525;0.17631;"[0.603; 1.204]";0.6034;1.2044;0.36534;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Телефон за рулём;JUN;post;0.02303;1.0233;0.09496;"[0.850; 1.233]";0.8495;1.2326;0.80834;122;изменение ДОЛИ относительно прочих штрафов
Panel FE (усл. Пуассон);COMPOSITE-6 (гипотеза);MAY;post;0.38549;1.4703;0.00877;"[1.445; 1.496]";1.4453;1.4958;0.0;14148;внутриклиентский эффект, IRR=1.470, клиентов 3537
Panel FE (усл. Пуассон);COMPOSITE-6 (гипотеза);JUN;post;-0.04198;0.9589;0.02785;"[0.908; 1.013]";0.908;1.0127;0.13172;14148;внутриклиентский эффект, IRR=0.959, клиентов 3537
Panel FE (усл. Пуассон);Манёвренные-5 (без телефона);MAY;post;0.36057;1.4342;0.00981;"[1.407; 1.462]";1.4068;1.462;0.0;12088;внутриклиентский эффект, IRR=1.434, клиентов 3022
Panel FE (усл. Пуассон);Манёвренные-5 (без телефона);JUN;post;-0.07057;0.9319;0.03077;"[0.877; 0.990]";0.8773;0.9898;0.0218;12088;внутриклиентский эффект, IRR=0.932, клиентов 3022
Panel FE (усл. Пуассон);Нарушение разметки;MAY;post;0.5821;1.7898;0.01186;"[1.749; 1.832]";1.7487;1.8319;0.0;6580;внутриклиентский эффект, IRR=1.790, клиентов 1645
Panel FE (усл. Пуассон);Нарушение разметки;JUN;post;-0.04582;0.9552;0.04209;"[0.880; 1.037]";0.8796;1.0374;0.2763;6580;внутриклиентский эффект, IRR=0.955, клиентов 1645
Panel FE (усл. Пуассон);Остановка/стоянка в неположенном месте;MAY;post;-0.32617;0.7217;0.03467;"[0.674; 0.772]";0.6743;0.7724;0.0;2096;внутриклиентский эффект, IRR=0.722, клиентов 524
Panel FE (усл. Пуассон);Остановка/стоянка в неположенном месте;JUN;post;-0.09212;0.912;0.07974;"[0.780; 1.066]";0.78;1.0663;0.24804;2096;внутриклиентский эффект, IRR=0.912, клиентов 524
Panel FE (усл. Пуассон);Пересечение стоп-линии;MAY;post;0.53382;1.7054;0.02598;"[1.621; 1.795]";1.6208;1.7945;0.0;1864;внутриклиентский эффект, IRR=1.705, клиентов 466
Panel FE (усл. Пуассон);Пересечение стоп-линии;JUN;post;0.04512;1.0462;0.08342;"[0.888; 1.232]";0.8884;1.232;0.58858;1864;внутриклиентский эффект, IRR=1.046, клиентов 466
Panel FE (усл. Пуассон);Движение по обочине;MAY;post;0.31626;1.372;0.03948;"[1.270; 1.482]";1.2698;1.4824;0.0;980;внутриклиентский эффект, IRR=1.372, клиентов 245
Panel FE (усл. Пуассон);Движение по обочине;JUN;post;-0.56977;0.5657;0.15022;"[0.421; 0.759]";0.4214;0.7593;0.00015;980;внутриклиентский эффект, IRR=0.566, клиентов 245
